2026-07-08 06:38:59 status half-configured libsystemd0:amd64 252.39-1~deb12u1
2026-07-08 06:38:59 status unpacked libsystemd0:amd64 252.39-1~deb12u1
2026-07-08 06:38:59 status half-installed libsystemd0:amd64 252.39-1~deb12u1
2026-07-08 06:38:59 status unpacked libsystemd0:amd64 252.39-1~deb12u2
2026-07-08 06:38:59 startup packages configure
2026-07-08 06:38:59 configure libsystemd0:amd64 252.39-1~deb12u2 <none>
2026-07-08 06:38:59 status unpacked libsystemd0:amd64 252.39-1~deb12u2
2026-07-08 06:38:59 status half-configured libsystemd0:amd64 252.39-1~deb12u2
2026-07-08 06:38:59 status installed libsystemd0:amd64 252.39-1~deb12u2
2026-07-08 06:38:59 startup archives unpack
2026-07-08 06:38:59 upgrade libudev1:amd64 252.39-1~deb12u1 252.39-1~deb12u2
2026-07-08 06:38:59 status half-configured libudev1:amd64 252.39-1~deb12u1
2026-07-08 06:38:59 status unpacked libudev1:amd64 252.39-1~deb12u1
2026-07-08 06:38:59 status half-installed libudev1:amd64 252.39-1~deb12u1
2026-07-08 06:38:59 status unpacked libudev1:amd64 252.39-1~deb12u2
2026-07-08 06:38:59 startup packages configure
2026-07-08 06:38:59 configure libudev1:amd64 252.39-1~deb12u2 <none>
2026-07-08 06:38:59 status unpacked libudev1:amd64 252.39-1~deb12u2
2026-07-08 06:38:59 status half-configured libudev1:amd64 252.39-1~deb12u2
2026-07-08 06:38:59 status installed libudev1:amd64 252.39-1~deb12u2
2026-07-08 06:38:59 startup archives unpack
2026-07-08 06:38:59 upgrade tzdata:all 2025b-0+deb12u2 2026b-0+deb12u1
2026-07-08 06:38:59 status half-configured tzdata:all 2025b-0+deb12u2
2026-07-08 06:38:59 status unpacked tzdata:all 2025b-0+deb12u2
2026-07-08 06:38:59 status half-installed tzdata:all 2025b-0+deb12u2
2026-07-08 06:39:01 status unpacked tzdata:all 2026b-0+deb12u1
2026-07-08 06:39:01 startup packages configure
2026-07-08 06:39:01 configure tzdata:all 2026b-0+deb12u1 <none>
2026-07-08 06:39:01 status unpacked tzdata:all 2026b-0+deb12u1
2026-07-08 06:39:01 status half-configured tzdata:all 2026b-0+deb12u1
